image,gt_mannequin,matched_detection,pose_generated,quality_pass_kp_ge_6,standing,sitting,fallen,unknown,bbox_pose_cascade_fallen,classifier_fallen,visible_keypoints_mean,det_ms,pose_ms,total_ms
capture_20260806_111931_782628_jpg.rf.q3uydFDo6qvq6NIVWA4R.jpg,1,1,1,1,1,0,0,0,0,0,17.0,682.073,61.21,744.925
capture_20260806_111935_809463_jpg.rf.e9LiEFNhKSGDO39e6cdN.jpg,1,1,1,1,1,0,0,0,0,0,17.0,36.067,39.264,76.987
capture_20260806_111943_960907_jpg.rf.jyoJHLgcFEpDXlXcU6rA.jpg,1,1,1,1,1,0,0,0,0,0,17.0,49.087,94.744,145.62
capture_20260806_111949_762228_jpg.rf.rJ8UDokRrELaw9a9SAdd.jpg,1,1,1,1,1,0,0,0,0,0,17.0,183.616,56.871,242.178
capture_20260806_111956_138042_jpg.rf.zvbz21E1fGb2QEprEfeZ.jpg,1,1,1,1,1,0,0,0,0,0,17.0,36.262,44.754,83.253
capture_20260806_112039_139865_jpg.rf.dCstXo5R198c46PYS7aK.jpg,1,1,1,1,1,0,0,0,1,1,17.0,39.031,53.926,94.623
capture_20260806_112102_216867_jpg.rf.prCL5EgjNFFoWulXEa3Y.jpg,1,1,1,1,1,0,0,0,0,0,17.0,35.301,41.181,78.201
capture_20260806_112124_389571_jpg.rf.7qjIQjC7JGG80aBAAXfq.jpg,1,1,1,1,1,0,0,0,0,0,17.0,40.54,37.087,79.274
capture_20260806_112145_252690_jpg.rf.EK6tKqHhMAxphK9jOej6.jpg,1,1,1,1,1,0,0,0,0,0,15.0,36.727,44.62,83.035
capture_20260806_112159_373543_jpg.rf.1xL75jCshWh9WkkUODgn.jpg,1,1,1,1,1,0,0,0,0,0,17.0,38.426,59.062,99.178
capture_20260806_112337_062872_jpg.rf.7fyJgnR6VJmw5ZhqDv5J.jpg,1,1,1,1,1,0,0,0,0,0,17.0,36.635,37.339,75.763
capture_20260806_112402_592908_jpg.rf.6JL1SQCVMRiDvcrEi0ZH.jpg,1,1,1,1,1,0,0,0,0,0,17.0,47.133,49.911,98.778
capture_20260806_112407_252921_jpg.rf.dsQ9cahURqMoHWarAFYZ.jpg,1,1,1,1,1,0,0,0,0,0,17.0,36.009,35.107,72.785
capture_20260806_112412_253089_jpg.rf.Cr82DZSsbNOL46zD5t72.jpg,1,1,1,1,1,0,0,0,0,0,16.0,32.549,49.129,83.318
capture_20260806_112417_721325_jpg.rf.tXPmaMup41AlPVh894nS.jpg,1,1,1,1,1,0,0,0,0,0,17.0,34.015,39.671,75.329
capture_20260806_112435_931435_jpg.rf.CbCCW7a71OsV9kUIY1me.jpg,1,1,1,1,1,0,0,0,0,0,14.0,30.724,37.309,69.699
capture_20260806_112438_583271_jpg.rf.Gq8QFr1Wy1Hb8kBVp7vx.jpg,1,1,1,1,1,0,0,0,0,0,14.0,32.495,31.6,65.738
